Sido,Sigun,id,LeeJ,Yoon,Shim,Oh,Huh,LeeB,Ok,KimK,Cho,KimJ,LeeK,KimM,
??,???,11110,0.4642,0.4948,0.0313,0.0005,0.0056,0.0004,0,0.0005,0.0008,0.001,0.0002,0.0003,
??,??,11140,0.4542,0.5096,0.0274,0.0005,0.0054,0.0002,0.0001,0.0002,0.0007,0.0006,0.0002,0.0003,
??,???,11170,0.3986,0.5644,0.029,0.0004,0.005,0.0002,0.0001,0.0003,0.0005,0.0006,0.0001,0.0003,
??,???,11200,0.4323,0.532,0.0274,0.0006,0.0049,0.0002,0.0001,0.0002,0.0006,0.0007,0.0001,0.0003,
??,???,11215,0.4719,0.4882,0.0303,0.0006,0.006,0.0002,0.0001,0.0002,0.0007,0.0007,0.0001,0.0003,
??,????,11230,0.471,0.4916,0.0279,0.0006,0.0056,0.0001,0.0001,0.0002,0.0008,0.001,0.0003,0.0003,
??,???,11260,0.5045,0.4573,0.0266,0.0006,0.0075,0.0002,0.0001,0.0002,0.0009,0.0011,0.0002,0.0002,
??,???,11290,0.4931,0.4667,0.0309,0.0005,0.0056,0.0003,0.0001,0.0003,0.0006,0.0009,0.0002,0.0003,
??,???,11305,0.5232,0.4382,0.0265,0.0006,0.0076,0.0003,0.0001,0.0002,0.0008,0.0012,0.0003,0.0003,
??,???,11320,0.4975,0.4659,0.0261,0.0005,0.0068,0.0002,0.0002,0.0002,0.0006,0.0011,0.0001,0.0003,
??,???,11350,0.4894,0.4722,0.0289,0.0005,0.0055,0.0002,0.0001,0.0002,0.0006,0.0012,0.0002,0.0003,
??,???,11380,0.5126,0.4465,0.0308,0.0007,0.0061,0.0003,0.0001,0.0002,0.0007,0.0009,0.0002,0.0002,
??,????,11410,0.4833,0.4747,0.033,0.0005,0.0051,0.0002,0.0001,0.0001,0.0007,0.0012,0.0002,0.0003,
??,???,11440,0.465,0.4903,0.0367,0.0007,0.0046,0.0002,0.0001,0.0002,0.0006,0.0007,0.0001,0.0002,
??,???,11470,0.4639,0.5013,0.0261,0.0005,0.0055,0.0002,0.0001,0.0002,0.0007,0.0006,0.0001,0.0003,
??,???,11500,0.4917,0.4697,0.0287,0.0006,0.0063,0.0002,0.0001,0.0002,0.0007,0.0008,0.0002,0.0003,
??,???,11530,0.4919,0.4701,0.0278,0.0005,0.0063,0.0002,0.0001,0.0002,0.0007,0.0012,0.0001,0.0003,
??,???,11545,0.5156,0.445,0.0275,0.0006,0.0074,0.0003,0.0001,0.0002,0.0007,0.0013,0.0003,0.0004,
??,????,11560,0.446,0.5164,0.0292,0.0005,0.005,0.0002,0.0001,0.0002,0.0007,0.0009,0.0001,0.0002,
??,???,11590,0.4574,0.5051,0.0292,0.0005,0.0051,0.0002,0.0001,0.0003,0.0005,0.0008,0.0001,0.0002,
??,???,11620,0.5032,0.4516,0.0334,0.0009,0.0077,0.0003,0.0001,0.0003,0.0007,0.0009,0.0002,0.0003,
??,???,11650,0.3218,0.6513,0.0212,0.0003,0.0032,0.0001,0,0.0003,0.0006,0.0003,0.0001,0.0001,
??,???,11680,0.3035,0.6701,0.0199,0.0003,0.0039,0.0001,0.0001,0.0003,0.0007,0.0003,0.0001,0.0002,
??,???,11710,0.4015,0.5676,0.0236,0.0004,0.0045,0.0001,0.0001,0.0003,0.0006,0.0005,0.0001,0.0002,
??,???,11740,0.448,0.517,0.0258,0.0005,0.0057,0.0001,0.0001,0.0002,0.0007,0.0008,0.0002,0.0002,
??,??,26110,0.366,0.5954,0.0221,0.0003,0.0128,0.0002,0.0001,0.0002,0.0008,0.0007,0.0004,0.0003,
??,??,26140,0.3639,0.6,0.0218,0.0005,0.0103,0.0003,0.0001,0.0002,0.0007,0.001,0.0002,0.0004,
??,??,26170,0.3669,0.5971,0.0202,0.0004,0.0113,0.0003,0.0001,0.0004,0.0009,0.001,0.0003,0.0005,
??,???,26200,0.4161,0.5497,0.0192,0.0005,0.01,0.0003,0.0002,0.0001,0.0007,0.0017,0.0004,0.0005,
??,????,26230,0.386,0.5765,0.0225,0.0005,0.0104,0.0002,0.0001,0.0002,0.0009,0.0015,0.0002,0.0004,
??,???,26260,0.3662,0.5978,0.0226,0.0004,0.0094,0.0002,0.0001,0.0002,0.0008,0.0013,0.0001,0.0003,
??,??,26290,0.3742,0.5917,0.0212,0.0003,0.0088,0.0002,0.0001,0.0002,0.0009,0.0014,0.0002,0.0003,
??,??,26320,0.3984,0.5635,0.0227,0.0004,0.011,0.0003,0.0001,0.0002,0.001,0.001,0.0002,0.0006,
??,????,26350,0.3596,0.6087,0.0196,0.0004,0.0083,0.0002,0.0001,0.0002,0.0008,0.0011,0.0001,0.0003,
??,???,26380,0.4023,0.5597,0.0219,0.0004,0.0118,0.0002,0.0001,0.0002,0.0008,0.0013,0.0003,0.0005,
??,???,26410,0.3564,0.607,0.0227,0.0006,0.009,0.0002,0.0001,0.0002,0.0009,0.0015,0.0003,0.0004,
??,???,26440,0.4292,0.535,0.0218,0.0003,0.0112,0,0.0001,0.0001,0.0005,0.0008,0.0001,0.0002,
??,???,26470,0.3725,0.5926,0.0223,0.0005,0.0086,0.0001,0.0001,0.0002,0.0007,0.0015,0.0001,0.0003,
??,???,26500,0.3573,0.6082,0.0223,0.0004,0.0086,0.0001,0.0001,0.0002,0.0008,0.0008,0.0002,0.0003,
??,???,26530,0.4009,0.5597,0.0227,0.0005,0.012,0.0003,0.0001,0.0002,0.0008,0.0012,0.0003,0.0006,
??,???,26710,0.4079,0.5555,0.0213,0.0005,0.0115,0.0002,0.0001,0.0002,0.0007,0.0012,0.0001,0.0003,
??,??,27110,0.2147,0.7534,0.0193,0.0008,0.0077,0.0004,0.0001,0.0003,0.0019,0.0004,0.0001,0.0005,
??,??,27140,0.226,0.7408,0.0195,0.0004,0.0091,0.0001,0.0001,0.0002,0.0018,0.0006,0.0003,0.0003,
??,??,27170,0.1731,0.7953,0.0161,0.0006,0.0104,0.0002,0.0001,0.0001,0.002,0.0007,0.0005,0.0004,
??,??,27200,0.2039,0.7622,0.0184,0.0008,0.01,0.0007,0.0002,0.0003,0.002,0.0005,0.0001,0.0003,
??,??,27230,0.2275,0.7389,0.0208,0.0005,0.0088,0.0001,0.0001,0.0002,0.0014,0.0005,0.0002,0.0004,
??,???,27260,0.2095,0.7623,0.0182,0.0004,0.0065,0.0001,0.0001,0.0003,0.0013,0.0004,0.0002,0.0003,
??,???,27290,0.2134,0.7534,0.0201,0.0004,0.0084,0.0001,0.0001,0.0002,0.0021,0.0005,0.0002,0.0003,
??,???,27710,0.2358,0.7282,0.0206,0.0007,0.0105,0.0002,0.0001,0.0002,0.0015,0.0009,0.0003,0.0005,
